drug_name,most_positive_comment,most_negative_comment,,
ZOVIA 1/35E-28,only good for pregnancy prevention and period control*sometimes*,switched from yaz. starting having horrible cystic acne. no bloating or weight gain but wasn't worth the terrible outbreaks. avoid!,,
ZOVIA 1/50E-28,"I am generally a positive, and upbeat person. Now I feel like my body has been taken over by some evil creature. I cry for no reason, feel angry with everyone, overreact to things that normally wouldn't even phase me. My  doctors said, ""Lots of people get depressed. You don't have to blame it on the medication."" Time for a new doctor.","I was fine in the very beginning. Soon, I started being snappy, angry and furious suddenly for any reason every day. A lot! My man says I changed, that I am mean and maybe I need to go to the therapist. I feel like Im a devil. I wasnt like that before. My sex drive is extremely low. And now, after my face got evenly sprinkled with numerous acne, some terrible, disgusting and weird rash I have never had before, I have had enough. Zovia made me a monster. Works terrible on me. It is not worth to go through all the side effects!",,
ZOVIRAX,I'm in college and I couldn't think to do my work. It was unlike anything I've ever experienced and very scary.,"Worked against shingles, but expensive and side effects were miserable.",,
ZUBSOLV,Equally effective. Better taste,Feels like death,,
ZUTRIPRO,"I was worried the pseudoephedrine would keep me up, but it did not.","I was worried the pseudoephedrine would keep me up, but it did not.",,
ZYBAN,Works great,Works for stopping smoking but the side effects are immensely dangerous to the very life you're trying to save from smoke. Just seems a guarantee of a quicker death. Was advised by every doctor I saw in the past 5 days (because of the side effects) to stop taking. Started smoking again immediately.,,
ZYDONE,Most effective hydro on the market for pain relief. Blows away norco or vicodin,Most effective hydro on the market for pain relief. Blows away norco or vicodin,,
ZYFLO CR,"I was prescribe by my doctor to take two tablets twice daily, however I don't feel comfortable taking this much, so I only take two tablets once daily instead, I still feel great improvement.","I was prescribe by my doctor to take two tablets twice daily, however I don't feel comfortable taking this much, so I only take two tablets once daily instead, I still feel great improvement.",,
ZYLET,Dangerous side effects! It made a mild infection 100 times worse.,Dangerous side effects! It made a mild infection 100 times worse.,,
ZYLOPRIM,Works very well.,Anyone else getting swollen ankles???,,
ZYPREXA,"I take zyprexa 4 times a day, 5mg in the morning, 5mg at noon, 5mg at 430, and 30mg at night. I also take 15mg of haloperidol at night. It seems to work for me kind of. I have break through symptoms but I manage. I do feel tho that it has affected my memory quite a bit.",Worse drug in the world.,,
ZYPREXA RELPREVV,This has been a wonderful antidepressant for me. I had tried just about every other medication for depression and this helped immediately. Also great for hypomania/mania.,"This drug, along with all other neuroleptics should be banned. They are a chemical lobotomy and castration. They are tools of social control.",,
ZYPREXA ZYDIS,Great drug! Really helped me. So glad I got on this drug.,"i was first put on zyprexa about 1 & 1/2 years agao when i was 14/15 i went from 118lbs to 142lbs. That was the only side effect i got, bescides wanting to sleep alot.it helped with the ""crazy"" thoughts, mood swings, nightmares, and anxiety.I went to my doctor and told her how i eat all day long and i cant keep gaining weight like this.. she put me on geodon.i hated it. it made me feel so crazy and have terrible thoughts.it also made me feel ""out of it""i gave it about 2 months and still hated it.would not reccomend to anyone. but it did make me loose 20lbs..but to me it wasnt worth it.Since ive been off zyprexa i have had terrible anxiety problems to the point where im afraid to leave my house.im considering going back on it but i dont want to gain the weight.so if you dont mind gaining the weight i think its a great med to take .. it worked for me & fast.. its the only med iv took that worked and iv tryd about 10",,
ZYRTEC,"Found information about Zyrtec breaking the Blood Brain Barrier causing drug-induced mental issues. Zyrtec had legal action against them years ago for this EXACT reason and changed the drug to one known to break the barrier with less frequency but it still does. This is just WRONG to put don't he shelves and ruin kids (and Adults) like this. I just stopped the drug and noticed a marked improvement in my baby girl. She still has a stutter, and what seems to be OCD issues. I am now scheduled to see a Neurologist. I wish I had more to share. I can only PRAY and provide any support possible with the HOPE that my kid returns to normal. DO NOT TAKE THIS PRODUCT!!!!! I will update this post with info or feel free to email me via the link below.",it helps for allergy but it has horrible psychological side effects... avoid this medicine,,
ZYRTEC ALLERGY,This medication just took the edge off of my severe anaphylactic symptoms of allergy to the cold air. I was angry and irritated and sometimes anxious. Recently started taking it again after a severe reaction unmedicated. Got the same symptoms back.,This medication just took the edge off of my severe anaphylactic symptoms of allergy to the cold air. I was angry and irritated and sometimes anxious. Recently started taking it again after a severe reaction unmedicated. Got the same symptoms back.,,
ZYRTEC-D 12 HOUR,It's great for treatment of seasonal allergies. Sometimes I could not breath at all and Zyrtec made a difference. I don't take it every day--only when I need it.,It's great for treatment of seasonal allergies. Sometimes I could not breath at all and Zyrtec made a difference. I don't take it every day--only when I need it.,,
ZYVOX,I felt very unwell while taking it but it helped somewhat.,expensive and potentially dangerous.,,
abacavir,this treatment has worked excelent for me and it is very easy to use just 1 pill before bed,"Broke out in a mass of open sores, Dr. would not change as he stated I would get use to it. Quite drug after 6 mos went bach on drugs I was previously on.",,
abilify,Carley | 45-54 | Female | On medication for 10 years or more | Patient,BStudent | 45-54 | On medication for 2 to less than 5 years | Patient,,
